g_x,g_y
33840.01,3387257.82
33840.34,3387257.42
33840.68,3387257.02
33841.01,3387256.62
33841.33,3387256.23
33841.66,3387255.84
33841.99,3387255.43
33842.32,3387255.05
33842.65,3387254.65
33842.98,3387254.25
33843.3,3387253.85
33843.63,3387253.47
33843.96,3387253.08
33844.3,3387252.69
33844.64,3387252.31
33845.0,3387251.95
33845.39,3387251.63
33845.81,3387251.34
33846.26,3387251.1
33846.72,3387250.9
33847.2,3387250.76
33847.69,3387250.65
33848.19,3387250.6
33848.69,3387250.58
33849.2,3387250.57
33849.72,3387250.57
33850.23,3387250.6
33850.74,3387250.67
33851.24,3387250.77
33851.74,3387250.9
33852.25,3387251.02
33852.74,3387251.17
33853.24,3387251.32
33853.73,3387251.51
33854.2,3387251.73
33854.65,3387251.97
33855.08,3387252.24
33855.5,3387252.52
33855.93,3387252.8
33856.37,3387253.08
33856.79,3387253.36
33857.22,3387253.64
33857.65,3387253.93
33858.08,3387254.22
33858.5,3387254.51
33858.92,3387254.8
33859.32,3387255.1
33859.74,3387255.41
33860.16,3387255.72
33860.55,3387256.05
33860.95,3387256.37
